kod,ad
647,Reeskont Faiz Gelirleri
649,Diğer Olağan Gelir ve Kârlar
65,DİĞER FAALİYETLERDEN OLAĞAN GİDER VE ZARARLAR (-)
653,Komisyon Giderleri (-)
654,Karşılık Giderleri (-)
655,Menkul Kıymet Satış Zararları (-)
656,Kambiyo Zararları (-)
657,Reeskont Faiz Giderleri (-)
659,Diğer Olağan Gider ve Zararlar (-)
66,FİNANSMAN GİDERLERİ (-)
660,Kısa Vadeli Borçlanma Giderleri (-)
661,Uzun Vadeli Borçlanma Giderleri (-)
67,OLAĞANDIŞI GELİR VE KÂRLAR
671,Önceki Dönem Gelir ve Kârları
679,Diğer Olağandışı Gelir ve Kârlar
68,OLAĞANDIŞI GİDER VE ZARARLAR (-)
680,Çalışmayan Kısım Gider ve Zararları (-)
681,Önceki Dönem Gider ve Zararları (-)
689,Diğer Olağandışı Gider ve Zararlar (-)
69,DÖNEM NET KÂRI (ZARARI)
690,Dönem Kârı veya Zararı
691,Dönem Kârı Vergi ve Diğer Yasal Yükümlülük Karşılıkları (-)
692,Dönem Net Kârı veya Zararı
7,MALİYET HESAPLARI
70,MALİYET MUHASEBESİ BAĞLANTI HESAPLARI
700,Maliyet Muhasebesi Bağlantı Hesabı
701,Maliyet Muhasebesi Yansıtma Hesabı
71,DİREKT İLK MADDE VE MALZEME GİDERLERİ
710,Direkt İlk Madde ve Malzeme Giderleri
711,Direkt İlk Madde ve Malzeme Yansıtma Hesabı
712,Direkt İlk Madde ve Malzeme Fiyat Farkı
713,Direkt İlk Madde ve Malzeme Miktar Farkı
72,DİREKT İŞÇİLİK GİDERLERİ
720,Direkt İşçilik Giderleri
721,Direkt İşçilik Giderleri Yansıtma Hesabı
722,Direkt İşçilik Ücret Farkları
723,Direkt İşçilik Süre (Zaman) Farkları
73,GENEL ÜRETİM GİDERLERİ
730,Genel Üretim Giderleri
731,Genel Üretim Giderleri Yansıtma Hesabı
732,Genel Üretim Giderleri Bütçe Farkları
733,Genel Üretim Giderleri Verimlilik Farkları
734,Genel Üretim Giderleri Kapasite Farkları
74,HİZMET ÜRETİM MALİYETİ
740,Hizmet Üretim Maliyeti
741,Hizmet Üretim Maliyeti Yansıtma Hesabı
742,Hizmet Üretim Maliyeti Fark Hesapları
75,ARAŞTIRMA VE GELİŞTİRME GİDERLERİ
750,Araştırma ve Geliştirme Giderleri
751,Araştırma ve Geliştirme Giderleri Yansıtma Hesabı
752,Araştırma ve Geliştirme Gider Farkları
76,PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ
760,Pazarlama Satış ve Dağıtım Giderleri
